Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0308345297996861,-0.00809956167493678,0.0015477928529805,0,0,0,0.0480540547053542,1.9010890037697E-05,-1.70688655753039E-06,9.0782658369474E-07,3.55875197801698E-05,-4.70280187400863E-07,2.41293843794E-05,0,0,0,0,0,0,package://psi-G0-Lv3/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://psi-G0-Lv3/meshes/base_link.STL,,镜向六电机灵巧手.STEP-1/镜向6.STEP-1;镜向六电机灵巧手.STEP-1/镜向7.STEP-1;镜向六电机灵巧手.STEP-1/镜向8.STEP-1;镜向六电机灵巧手.STEP-1/镜向9.STEP-1;镜向六电机灵巧手.STEP-1/镜向10.STEP-1;镜向六电机灵巧手.STEP-1/镜向5.STEP-1;镜向六电机灵巧手.STEP-1/镜向____________-__.STEP-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
ff_proximal_link,-0.00963446712148575,0.000258637939434186,-0.0049246372000177,0,0,0,0.00267211497657395,9.27728291369513E-08,8.73056191609397E-09,-4.02520338826631E-08,2.39659286522166E-07,2.68153699726847E-09,2.32508346362125E-07,0,0,0,0,0,0,package://psi-G0-Lv3/meshes/ff_proximal_link.STL,1,1,1,1,0,0,0,0,0,0,package://psi-G0-Lv3/meshes/ff_proximal_link.STL,,镜向六电机灵巧手.STEP-1/镜向___________2.STEP-1/镜向________.STEP-1;镜向六电机灵巧手.STEP-1/镜向___________2.STEP-1/镜向____.STEP-1;镜向六电机灵巧手.STEP-1/镜向___________2.STEP-1/镜向________-0.STEP-1;镜向六电机灵巧手.STEP-1/镜向___________2.STEP-1/镜向________-0.STEP-2;镜向六电机灵巧手.STEP-1/镜向___________2.STEP-1/镜向M1.6______________12.45______.STEP-1;镜向六电机灵巧手.STEP-1/镜向___________2.STEP-1/镜向M1.6______________5.45______ -.STEP-2,ff_proximal_joint,Axis_ff_proximal_joint,ff_proximal_joint,fixed,-0.0377556660538394,-0.0111460376101036,0.0295864263353789,1.5707963267949,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
ff_distal_link,-0.0140884312018295,-0.000597258962120869,-0.018861915395086,0,0,0,0.00414300987155096,3.84841777283199E-07,-6.16867059488045E-09,-2.50098758482993E-07,5.74279223999935E-07,-6.2992476955541E-09,2.65185081110658E-07,0,0,0,0,0,0,package://psi-G0-Lv3/meshes/ff_distal_link.STL,1,1,1,1,0,0,0,0,0,0,package://psi-G0-Lv3/meshes/ff_distal_link.STL,,镜向六电机灵巧手.STEP-1/镜向___________2.STEP-1/镜向M1.6______________5.45______ -.STEP-1;镜向六电机灵巧手.STEP-1/镜向___________2.STEP-1/镜向M1.6______________12.45______.STEP-2;镜向六电机灵巧手.STEP-1/镜向___________2.STEP-1/镜向______ - ____.STEP-1;镜向六电机灵巧手.STEP-1/镜向___________2.STEP-1/镜向____________-____-2.step.STEP-1,ff_distal_joint,Axis_ff_distal_joint,ff_distal_joint,fixed,-0.0339437906468489,0.00180926366576984,-0.0116078285559355,0,0,0,ff_proximal_link,0,1,0,0,0,0,0,,,,,,,,
mf_proximal_link,-0.00167149048639512,0.000194556674696821,-0.00169257519528261,0,0,0,0.00114470417931708,2.90497685454867E-08,9.3527913516097E-10,-1.97300972906725E-08,9.96217733184251E-08,2.61818226665419E-10,7.90403064692974E-08,0,0,0,0,0,0,package://psi-G0-Lv3/meshes/mf_proximal_link.STL,1,1,1,1,0,0,0,0,0,0,package://psi-G0-Lv3/meshes/mf_proximal_link.STL,,镜向六电机灵巧手.STEP-1/镜向__________-1.STEP-1/镜向________-.STEP-1;镜向六电机灵巧手.STEP-1/镜向__________-1.STEP-1/镜向____.STEP-1;镜向六电机灵巧手.STEP-1/镜向__________-1.STEP-1/镜向________-4.STEP-1;镜向六电机灵巧手.STEP-1/镜向__________-1.STEP-1/镜向________-4.STEP-2;镜向六电机灵巧手.STEP-1/镜向__________-1.STEP-1/镜向M1.6______________12.45______.STEP-2;镜向六电机灵巧手.STEP-1/镜向__________-1.STEP-1/镜向M1.6______________5.45______ -.STEP-2,mf_proximal_joint,Axis_mf_proximal_joint,mf_proximal_joint,fixed,-0.0410314404503972,-0.0154540567129448,0.00939064039356894,1.5707963267949,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
mf_distal_link,-0.0143394068420105,0.000304305790825023,-0.0186787572939514,0,0,0,0.00414298576704423,3.77814307268413E-07,2.60569559606519E-09,-2.51789431992803E-07,5.74279089019359E-07,3.33934285820328E-09,2.72203128474342E-07,0,0,0,0,0,0,package://psi-G0-Lv3/meshes/mf_distal_link.STL,1,1,1,1,0,0,0,0,0,0,package://psi-G0-Lv3/meshes/mf_distal_link.STL,,镜向六电机灵巧手.STEP-1/镜向__________-1.STEP-1/镜向____________-____-2.step.STEP-1;镜向六电机灵巧手.STEP-1/镜向__________-1.STEP-1/镜向______ - ____.STEP-1;镜向六电机灵巧手.STEP-1/镜向__________-1.STEP-1/镜向M1.6______________5.45______ -.STEP-1;镜向六电机灵巧手.STEP-1/镜向__________-1.STEP-1/镜向M1.6______________12.45______.STEP-1,mf_distal_joint,Axis_mf_distal_joint,mf_distal_joint,fixed,-0.0382891866777801,0.000507072878368063,-0.0146728724788626,0,0,0,mf_proximal_link,0,0,0,0,0,0,0,,,,,,,,
rf_proximal_link,-0.00943741401196795,-0.000644744035393472,-0.00524060093939338,0,0,0,0.00267214493296488,9.54904649179154E-08,-8.19583519414169E-09,-4.29712976409595E-08,2.39688687823504E-07,-2.43177543054939E-09,2.29768173161991E-07,0,0,0,0,0,0,package://psi-G0-Lv3/meshes/rf_proximal_link.STL,1,1,1,1,0,0,0,0,0,0,package://psi-G0-Lv3/meshes/rf_proximal_link.STL,,镜向六电机灵巧手.STEP-1/镜向__________-2.STEP-1/镜向________.STEP-1;镜向六电机灵巧手.STEP-1/镜向__________-2.STEP-1/镜向____.STEP-1;镜向六电机灵巧手.STEP-1/镜向__________-2.STEP-1/镜向________-0.STEP-1;镜向六电机灵巧手.STEP-1/镜向__________-2.STEP-1/镜向M1.6______________12.45______.STEP-1;镜向六电机灵巧手.STEP-1/镜向__________-2.STEP-1/镜向M1.6______________5.45______ -.STEP-2;镜向六电机灵巧手.STEP-1/镜向__________-2.STEP-1/镜向________-0.STEP-2,rf_proximal_joint,Axis_rf_proximal_joint,rf_proximal_joint,fixed,-0.0383008504588008,-0.0147040752297879,-0.0104506200605121,1.5707963267949,0,0,base_link,0,0,0,0,0,0,0,,,,,,,,
rf_distal_link,-0.0127687034884625,-0.000835042221077447,-0.0197635735521369,0,0,0,0.00414214846225857,4.17679068396988E-07,-8.83957481306755E-09,-2.39631898277239E-07,5.73559042310164E-07,-1.35500262451852E-08,2.32558007747657E-07,0,0,0,0,0,0,package://psi-G0-Lv3/meshes/rf_distal_link.STL,1,1,1,1,0,0,0,0,0,0,package://psi-G0-Lv3/meshes/rf_distal_link.STL,,镜向六电机灵巧手.STEP-1/镜向__________-2.STEP-1/镜向____________-____.step.STEP-1;镜向六电机灵巧手.STEP-1/镜向__________-2.STEP-1/镜向______ - ____.STEP-1;镜向六电机灵巧手.STEP-1/镜向__________-2.STEP-1/镜向M1.6______________12.45______.STEP-2;镜向六电机灵巧手.STEP-1/镜向__________-2.STEP-1/镜向M1.6______________5.45______ -.STEP-1,rf_distal_joint,Axis_rf_distal_joint,rf_distal_joint,fixed,-0.0335896805349915,-0.00189937762198306,-0.0125825978441605,0,0,0,rf_proximal_link,0,0,0,0,0,0,0,,,,,,,,
lf_proximal_link,-0.00774463156090803,-0.000391520683631859,-0.00460373811958649,0,0,0,0.00246243785649556,8.56186142918777E-08,-9.7692744183576E-09,-2.93491216302902E-08,1.88515793502733E-07,-2.97208702112331E-09,1.83500959603726E-07,0,0,0,0,0,0,package://psi-G0-Lv3/meshes/lf_proximal_link.STL,1,1,1,1,0,0,0,0,0,0,package://psi-G0-Lv3/meshes/lf_proximal_link.STL,,镜向六电机灵巧手.STEP-1/镜向__________.STEP-1/镜向________-2.STEP-1;镜向六电机灵巧手.STEP-1/镜向__________.STEP-1/镜向____.STEP-1;镜向六电机灵巧手.STEP-1/镜向__________.STEP-1/镜向________-3.STEP-1;镜向六电机灵巧手.STEP-1/镜向__________.STEP-1/镜向M1.6______________12.45______.STEP-1;镜向六电机灵巧手.STEP-1/镜向__________.STEP-1/镜向________-3.STEP-2;镜向六电机灵巧手.STEP-1/镜向__________.STEP-1/镜向M1.6______________5.45______ -.STEP-1,lf_proximal_joint,Axis_lf_proximal_joint,lf_proximal_joint,fixed,-0.0345346620516296,-0.012142879486419,-0.030716462904227,1.5707963267949,0,0,base_link,0,0,0,0,0,0,0,,,,,,,,
lf_distal_link,-0.00835267505065766,0.000162250990134775,-0.0142055013765391,0,0,0,0.00260962404050252,1.24544438020232E-07,7.99245723638694E-10,-5.47285555000922E-08,1.53354943930051E-07,-4.28793777345785E-10,7.17881042627888E-08,0,0,0,0,0,0,package://psi-G0-Lv3/meshes/lf_distal_link.STL,1,1,1,1,0,0,0,0,0,0,package://psi-G0-Lv3/meshes/lf_distal_link.STL,,镜向六电机灵巧手.STEP-1/镜向__________.STEP-1/镜向______-____.STEP-1;镜向六电机灵巧手.STEP-1/镜向__________.STEP-1/镜向______-2 - ____ (2).STEP-1;镜向六电机灵巧手.STEP-1/镜向__________.STEP-1/镜向M1.6______________5.45______ -.STEP-2;镜向六电机灵巧手.STEP-1/镜向__________.STEP-1/镜向M1.6______________12.45______.STEP-2,lf_distal_joint,Axis_lf_distal_joint,lf_distal_joint,fixed,-0.0295364571810051,-0.00241739737627786,-0.0118895904451199,0,0,0,lf_proximal_link,0,0,0,0,0,0,0,,,,,,,,
th_proximal_link,0.00232360486010616,0.00205600810227908,-0.00458288577479005,0,0,0,0.00211540939170053,1.71275738984385E-07,8.59043473834107E-09,1.32759018763032E-08,1.71622096947695E-07,-5.89460527055198E-08,1.45480644487152E-07,0,0,0,0,0,0,package://psi-G0-Lv3/meshes/th_proximal_link.STL,1,1,1,1,0,0,0,0,0,0,package://psi-G0-Lv3/meshes/th_proximal_link.STL,,镜向六电机灵巧手.STEP-1/镜向19.STEP-1,th_proximal_joint,,th_proximal_joint,fixed,0.029051,0.014491,0.018757,-3.1286,-0.058183,1.3516,base_link,0,0,0,0,0,0,0,,,,,,,,
