Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0282680334155116,-0.00155312878370573,0.0090688183026775,0,0,0,0.0410424762542632,1.67808110422422E-05,-1.38161155616436E-06,2.77639403016102E-07,1.59956087599769E-05,-2.84757118052629E-07,2.62608804201258E-05,0,0,0,0,0,0,package://urdf_v2/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_v2/meshes/base_link.STL,,六电机灵巧手(1).STEP-1/7.STEP-1;六电机灵巧手(1).STEP-1/8.STEP-1;六电机灵巧手(1).STEP-1/9.STEP-1;六电机灵巧手(1).STEP-1/10.STEP-1;六电机灵巧手(1).STEP-1/5.STEP-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
ff_proximal_link,-0.015386,-0.0066062,-0.0079647,0,0,0,0.0018523,8.5863E-08,-4.71E-09,-4.397E-08,1.886E-07,-2.9657E-09,1.808E-07,0,0,0,0,0,0,package://urdf_v2/meshes/ff_proximal_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_v2/meshes/ff_proximal_link.STL,,六电机灵巧手(1).STEP-1/___________2.STEP-1/________.STEP-1;六电机灵巧手(1).STEP-1/___________2.STEP-1/________-0.STEP-2;六电机灵巧手(1).STEP-1/___________2.STEP-1/________-0.STEP-1;六电机灵巧手(1).STEP-1/___________2.STEP-1/M1.6______________12.45______.STEP-1,ff_proximal_joint,,ff_proximal_joint,revolute,-0.03826,-0.011678,-0.023531,1.5708,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
ff_distal_link,-0.0136744559671081,-0.00546355961032156,-0.0194579532929323,0,0,0,0.00411870576106074,3.84711901595296E-07,6.16480172234882E-09,-2.5005841513438E-07,5.74190965189268E-07,6.30974065938001E-09,2.65068505295533E-07,0,0,0,0,0,0,package://urdf_v2/meshes/ff_distal_link.STL,0.282352941176471,0.0313725490196078,0.815686274509804,1,0,0,0,0,0,0,package://urdf_v2/meshes/ff_distal_link.STL,,六电机灵巧手(1).STEP-1/___________2.STEP-1/______ - ____.STEP-1;六电机灵巧手(1).STEP-1/___________2.STEP-1/____________-____-2.step.STEP-1;六电机灵巧手(1).STEP-1/___________2.STEP-1/M1.6______________12.45______.STEP-2,ff_distal_joint,,ff_distal_joint,revolute,-0.033944,-0.0018093,-0.011608,0,0,0,ff_proximal_link,0,1,0,0,0,0,0,,,,,,,,
lf_proximal_link,-0.0146092609512682,-0.0055508873917868,-0.00670762165904373,0,0,0,0.00164259183850072,7.83650178895857E-08,4.1832976450397E-09,-3.3038131625674E-08,1.37775200510857E-07,3.38529940940638E-09,1.31770538978944E-07,0,0,0,0,0,0,package://urdf_v2/meshes/lf_proximal_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_v2/meshes/lf_proximal_link.STL,,六电机灵巧手(1).STEP-1/__________.STEP-1/________-2.STEP-1;六电机灵巧手(1).STEP-1/__________.STEP-1/________-3.STEP-1;六电机灵巧手(1).STEP-1/__________.STEP-1/________-3.STEP-2;六电机灵巧手(1).STEP-1/__________.STEP-1/M1.6______________12.45______.STEP-1,lf_proximal_joint,,lf_proximal_joint,revolute,-0.033769,-0.011577,0.037146,1.5708,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
lf_distal_link,-0.00921516331063749,-0.00657933694076938,-0.0137060475387422,0,0,0,0.00258549281540904,1.24448167729541E-07,-7.90147373548682E-10,-5.47338391191158E-08,1.5333214661181E-07,4.20352585186048E-10,7.16963433808903E-08,0,0,0,0,0,0,package://urdf_v2/meshes/lf_distal_link.STL,0.576470588235294,0.850980392156863,0.945098039215686,1,0,0,0,0,0,0,package://urdf_v2/meshes/lf_distal_link.STL,,六电机灵巧手(1).STEP-1/__________.STEP-1/______-2 - ____ (2).STEP-1;六电机灵巧手(1).STEP-1/__________.STEP-1/______-____.STEP-1;六电机灵巧手(1).STEP-1/__________.STEP-1/M1.6______________12.45______.STEP-2,lf_distal_joint,,lf_distal_joint,revolute,-0.029536,0.0024174,-0.01189,0,0,0,lf_proximal_link,0,1,0,0,0,0,0,,,,,,,,
mf_proximal_link,-0.0177059315083575,-0.0068574882263558,-0.00949570438060691,0,0,0,0.00222072837890887,1.18469806234159E-07,-2.169203589617E-09,-7.66611865960727E-08,2.82300078965434E-07,-1.01552906952095E-09,2.55439925655879E-07,0,0,0,0,0,0,package://urdf_v2/meshes/mf_proximal_link.STL,0.913725490196078,0.109803921568627,0.0313725490196078,1,0,0,0,0,0,0,package://urdf_v2/meshes/mf_proximal_link.STL,,六电机灵巧手(1).STEP-1/__________-1.STEP-1/________-4.STEP-1;六电机灵巧手(1).STEP-1/__________-1.STEP-1/________-4.STEP-2;六电机灵巧手(1).STEP-1/__________-1.STEP-1/________-.STEP-1;六电机灵巧手(1).STEP-1/__________-1.STEP-1/M1.6______________12.45______.STEP-2,mf_proximal_joint,,mf_proximal_joint,revolute,-0.041118,-0.015454,-0.0028912,1.5708,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
mf_distal_link,-0.0143449599107263,-0.0068015916660648,-0.0187410189605281,0,0,0,0.00411871594900483,3.77681695290248E-07,-2.6050362803194E-09,-2.51747092435786E-07,5.74182941173459E-07,-3.33591966287697E-09,2.72077516511856E-07,0,0,0,0,0,0,package://urdf_v2/meshes/mf_distal_link.STL,0.917647058823529,0.305882352941176,0.274509803921569,1,0,0,0,0,0,0,package://urdf_v2/meshes/mf_distal_link.STL,,六电机灵巧手(1).STEP-1/__________-1.STEP-1/____________-____-2.step.STEP-1;六电机灵巧手(1).STEP-1/__________-1.STEP-1/______ - ____.STEP-1;六电机灵巧手(1).STEP-1/__________-1.STEP-1/M1.6______________12.45______.STEP-1,mf_distal_joint,,mf_distal_joint,revolute,-0.038289,-0.00050707,-0.014673,0,0,0,mf_proximal_link,0,1,0,0,0,0,0,,,,,,,,
rf_proximal_link,-0.0159574731093167,-0.00508699297495175,-0.00788653991870907,0,0,0,0.00185229291559554,8.87960405276781E-08,5.65163102187985E-09,-4.67021204809698E-08,1.8840957230307E-07,2.64384772912068E-09,1.78055276074851E-07,0,0,0,0,0,0,package://urdf_v2/meshes/rf_proximal_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_v2/meshes/rf_proximal_link.STL,,六电机灵巧手(1).STEP-1/__________-2.STEP-1/________.STEP-1;六电机灵巧手(1).STEP-1/__________-2.STEP-1/________-0.STEP-1;六电机灵巧手(1).STEP-1/__________-2.STEP-1/________-0.STEP-2;六电机灵巧手(1).STEP-1/__________-2.STEP-1/M1.6______________12.45______.STEP-1,rf_proximal_joint,,rf_proximal_joint,revolute,-0.037956,-0.014704,0.016541,1.5708,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
rf_distal_link,-0.0132013672271961,-0.00525332333018323,-0.0198360245917965,0,0,0,0.00411813438505178,4.17567964091139E-07,8.83792091169937E-09,-2.39623187984756E-07,5.73527691798747E-07,1.35350117823584E-08,2.3247215276718E-07,0,0,0,0,0,0,package://urdf_v2/meshes/rf_distal_link.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_v2/meshes/rf_distal_link.STL,,六电机灵巧手(1).STEP-1/__________-2.STEP-1/____________-____.step.STEP-1;六电机灵巧手(1).STEP-1/__________-2.STEP-1/______ - ____.STEP-1;六电机灵巧手(1).STEP-1/__________-2.STEP-1/M1.6______________12.45______.STEP-2,rf_distal_joint,,rf_distal_joint,revolute,-0.03359,0.0018994,-0.012583,0,0,0,rf_proximal_link,0,1,0,0,0,0,0,,,,,,,,
th_link_1,0.00270659292318193,-0.00468066434180406,-0.00150236387262136,0,0,0,0.00211540567417261,1.7524535629557E-07,-5.50208752881828E-08,-4.43809324813235E-09,1.42495552210395E-07,-2.42530529882035E-08,1.70635228042348E-07,0,0,0,0,0,0,package://urdf_v2/meshes/th_link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_v2/meshes/th_link_1.STL,,六电机灵巧手(1).STEP-1/19.STEP-1,th_1_joint,,th_joint_1,revolute,0.028856,0.014535,-0.018759,1.5708,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
